sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2001122827
;SB 3300     
;2001122827
;E-Total
;Counter
DD.MM.YYYY HH:mm;kWh
18.12.2023 00:00;
18.12.2023 00:10;
18.12.2023 00:20;
18.12.2023 00:30;
18.12.2023 00:40;
18.12.2023 00:50;
18.12.2023 01:00;
18.12.2023 01:10;
18.12.2023 01:20;
18.12.2023 01:30;
18.12.2023 01:40;
18.12.2023 01:50;
18.12.2023 02:00;
18.12.2023 02:10;
18.12.2023 02:20;
18.12.2023 02:30;
18.12.2023 02:40;
18.12.2023 02:50;
18.12.2023 03:00;
18.12.2023 03:10;
18.12.2023 03:20;
18.12.2023 03:30;
18.12.2023 03:40;
18.12.2023 03:50;
18.12.2023 04:00;
18.12.2023 04:10;
18.12.2023 04:20;
18.12.2023 04:30;
18.12.2023 04:40;
18.12.2023 04:50;
18.12.2023 05:00;
18.12.2023 05:10;
18.12.2023 05:20;
18.12.2023 05:30;
18.12.2023 05:40;
18.12.2023 05:50;
18.12.2023 06:00;
18.12.2023 06:10;
18.12.2023 06:20;
18.12.2023 06:30;
18.12.2023 06:40;
18.12.2023 06:50;
18.12.2023 07:00;
18.12.2023 07:10;
18.12.2023 07:20;
18.12.2023 07:30;
18.12.2023 07:40;
18.12.2023 07:50;
18.12.2023 08:00;
18.12.2023 08:10;
18.12.2023 08:20;
18.12.2023 08:30;
18.12.2023 08:40;
18.12.2023 08:50;
18.12.2023 09:00;
18.12.2023 09:10;
18.12.2023 09:20;46707,323
18.12.2023 09:30;46707,323
18.12.2023 09:40;46707,324
18.12.2023 09:50;46707,350
18.12.2023 10:00;46707,402
18.12.2023 10:10;46707,469
18.12.2023 10:20;46707,549
18.12.2023 10:30;46707,664
18.12.2023 10:40;46707,832
18.12.2023 10:50;46708,045
18.12.2023 11:00;46708,268
18.12.2023 11:10;46708,517
18.12.2023 11:20;46708,774
18.12.2023 11:30;46709,054
18.12.2023 11:40;46709,313
18.12.2023 11:50;46709,442
18.12.2023 12:00;46709,527
18.12.2023 12:10;46709,685
18.12.2023 12:20;46709,987
18.12.2023 12:30;46710,256
18.12.2023 12:40;46710,490
18.12.2023 12:50;46710,643
18.12.2023 13:00;46710,883
18.12.2023 13:10;46711,274
18.12.2023 13:20;46711,667
18.12.2023 13:30;46712,065
18.12.2023 13:40;46712,452
18.12.2023 13:50;46712,836
18.12.2023 14:00;46713,218
18.12.2023 14:10;46713,600
18.12.2023 14:20;46713,968
18.12.2023 14:30;46714,328
18.12.2023 14:40;46714,685
18.12.2023 14:50;46715,023
18.12.2023 15:00;46715,352
18.12.2023 15:10;46715,672
18.12.2023 15:20;46715,970
18.12.2023 15:30;46716,253
18.12.2023 15:40;46716,501
18.12.2023 15:50;46716,684
18.12.2023 16:00;46716,817
18.12.2023 16:10;46716,932
18.12.2023 16:20;46717,033
18.12.2023 16:30;46717,118
18.12.2023 16:40;46717,180
18.12.2023 16:50;46717,206
18.12.2023 17:00;46717,209
18.12.2023 17:10;46717,210
18.12.2023 17:20;46717,211
18.12.2023 17:30;46717,211
18.12.2023 17:40;46717,211
18.12.2023 17:50;
18.12.2023 18:00;
18.12.2023 18:10;
18.12.2023 18:20;
18.12.2023 18:30;
18.12.2023 18:40;
18.12.2023 18:50;
18.12.2023 19:00;
18.12.2023 19:10;
18.12.2023 19:20;
18.12.2023 19:30;
18.12.2023 19:40;
18.12.2023 19:50;
18.12.2023 20:00;
18.12.2023 20:10;
18.12.2023 20:20;
18.12.2023 20:30;
18.12.2023 20:40;
18.12.2023 20:50;
18.12.2023 21:00;
18.12.2023 21:10;
18.12.2023 21:20;
18.12.2023 21:30;
18.12.2023 21:40;
18.12.2023 21:50;
18.12.2023 22:00;
18.12.2023 22:10;
18.12.2023 22:20;
18.12.2023 22:30;
18.12.2023 22:40;
18.12.2023 22:50;
18.12.2023 23:00;
18.12.2023 23:10;
18.12.2023 23:20;
18.12.2023 23:30;
18.12.2023 23:40;
18.12.2023 23:50;
